zswdiagnostic.esm
PlanetName,BIOM_FormID,BIOM_EditorID,ResourceID
diagnostic01,0007F88B,OceanLife01,00
diagnostic01,001DFE07,MountainsLife15,00
diagnostic01,0025FC04,ForestTropicalLife01,00
diagnostic01,002C9984,VolcanicRoughLife03,00
diagnostic01,0018A89C,SavannaLife10,00
diagnostic01,00285AFB,DesertRockyLifeExtreme,00
diagnostic02,0008A8A5,VolcanicRoughNoLife09,00
diagnostic02,0014C01A,DesertSandyNoLife06,00
diagnostic02,000D9BAD,MountainsLife10,00
diagnostic02,001DFE03,VolcanicWornNoLife10,00
diagnostic02,002ACD5A,DesertRockyLife01,00
diagnostic02,0018F249,ForestTropicalLife19,00
diagnostic03,0025D993,CanyonsLife01,00
diagnostic03,0017B85C,ForestConiferousLife06,00
diagnostic03,000FD6F7,FrozenLife03,00
diagnostic03,0007E2C6,VolcanicWornLife06,00
diagnostic03,003E3AE0,SavannaLife19,00
diagnostic03,000F1F13,ArchipelagoLife10,00
diagnostic04,003D673D,HillsLife20,00
diagnostic04,001160DF,HillsNoLife14,00
diagnostic04,00080231,VolcanicWornNoLife04,00
diagnostic04,002B6352,SavannaLife03,00
diagnostic04,000FD6F6,FrozenLife04,00
diagnostic04,00116476,ForestConiferousLife25,00
diagnostic05,001160F4,ForestConiferousLife27,00
diagnostic05,000FD013,ArchipelagoNoLife02,00
diagnostic05,001177C6,WetlandsLife07,00
diagnostic05,00110FCC,CanyonsLife10,00
diagnostic05,001160EF,ForestConiferousLife32,00
diagnostic05,0007FFFF,VolcanicWornLife05,00
diagnostic06,000C5716,CrateredNoLife12,00
diagnostic06,0009423B,OceanNoLifeSulfur,00
diagnostic06,001A540B,DesertRockyNoLife03,00
diagnostic06,0014C017,DesertSandyNoLife09,00
diagnostic06,00190B98,ForestTropicalLife09,00
diagnostic06,003D6741,HillsLife24,00
diagnostic07,000F1F0E,ArchipelagoNoLife05,00
diagnostic07,000F1F17,ArchipelagoLife06,00
diagnostic07,001DFDFE,VolcanicWornLife09,00
diagnostic07,00080000,VolcanicWornLife04,00
diagnostic07,000FC620,FrozenNoLife01,00
diagnostic07,00190136,ForestTropicalLife12,00
diagnostic08,000FD00C,FrozenLife08,00
diagnostic08,001160E9,HillsNoLife19,00
diagnostic08,002CE508,DesertRockyLife02,00
diagnostic08,003D6740,HillsLife23,00
diagnostic08,0017B85B,ForestConiferousLife07,00
diagnostic08,001DFE05,MountainsLife13,00
diagnostic09,002E57E3,WetlandsNoLife04,00
diagnostic09,001886D3,HillsLife18,00
diagnostic09,0028ACD0,ForestDeciduousLife02,00
diagnostic09,000FD015,ArchipelagoLife04,00
diagnostic09,0011F981,ForestDeciduousLife12,00
diagnostic09,001177C5,WetlandsLife09,00
diagnostic10,0018A89A,SavannaLife11,00
diagnostic10,000E869D,CanyonsNoLife09,00
diagnostic10,001177C4,WetlandsLife08,00
diagnostic10,000FD014,ArchipelagoNoLife03,00
diagnostic10,002C998D,DesertSandyNoLife02,00
diagnostic10,000B2635,SavannaLife14,00
diagnostic11,0007F887,OceanLife02,00
diagnostic11,0011F982,ForestDeciduousLife11,00
diagnostic11,00215097,HillsLife03,00
diagnostic11,00190134,ForestTropicalLife14,00
diagnostic11,003D673D,HillsLife20,00
diagnostic11,00134B6A,FrozenLife01,00
diagnostic12,000D9BB1,MountainsLife06,00
diagnostic12,002E57E3,WetlandsNoLife04,00
diagnostic12,0014C01A,DesertSandyNoLife06,00
diagnostic12,001160ED,ForestConiferousLife34,00
diagnostic12,002DCDD4,DesertSandyLife12,00
diagnostic12,000D1B7B,MountainsLife12,00
diagnostic13,00190136,ForestTropicalLife12,00
diagnostic13,0009423A,OceanNoLifeMethaneLiquid,00
diagnostic13,00116479,ForestConiferousLife22,00
diagnostic13,0008A8A4,VolcanicRoughNoLife10,00
diagnostic13,00215CC3,CrateredLife01,00
diagnostic13,002E57E0,WetlandsNoLife01,00
diagnostic14,0018A89C,SavannaLife10,00
diagnostic14,0025F387,ForestTropicalLife02,00
diagnostic14,002CE507,DesertSandyNoLife01,00
diagnostic14,001160E2,HillsNoLife11,00
diagnostic14,001160DA,HillsNoLife07,00
diagnostic14,00285AFC,HillsLifeExtreme,00
diagnostic15,00214969,HillsLife05,00
diagnostic15,002E57E3,WetlandsNoLife04,00
diagnostic15,001160DA,HillsNoLife07,00
diagnostic15,001217BE,ForestTropicalLife22,00
diagnostic15,0025F375,ForestTropicalLife03,00
diagnostic15,0025F387,ForestTropicalLife02,00
diagnostic16,000D9BAE,MountainsLife09,00
diagnostic16,000414BB,HillsLife14,00
diagnostic16,0011647D,ForestConiferousLife18,00
diagnostic16,000F1F13,ArchipelagoLife10,00
diagnostic16,003D673D,HillsLife20,00
diagnostic16,0002E850,VolcanicWornNoLife07,00
diagnostic17,000F1F17,ArchipelagoLife06,00
diagnostic17,0021040C,VolcanicRoughLifeExtreme,00
diagnostic17,001160E4,HillsNoLife18,00
diagnostic17,0007F887,OceanLife02,00
diagnostic17,001160D7,HillsNoLife24,00
diagnostic17,001160E9,HillsNoLife19,00
diagnostic18,00148064,CanyonsLife04,00
diagnostic18,000B2630,SavannaLife13,00
diagnostic18,00285AFC,HillsLifeExtreme,00
diagnostic18,000B2635,SavannaLife14,00
diagnostic18,0018A89C,SavannaLife10,00
diagnostic18,003D673F,HillsLife22,00
diagnostic19,0018A8A0,SavannaLife05,00
diagnostic19,0007EF0F,ForestDeciduousLife26,00
diagnostic19,0007F887,OceanLife02,00
diagnostic19,002E57E1,WetlandsNoLife02,00
diagnostic19,0007D725,OceanNoLife01,00
diagnostic19,0011F928,ForestDeciduousLife19,00
diagnostic20,0025D993,CanyonsLife01,00
diagnostic20,0008AE7A,VolcanicRoughLife10,00
diagnostic20,0011647E,ForestConiferousLife17,00
diagnostic20,000FD010,ArchipelagoLife03,00
diagnostic20,001862BF,CrateredNoLife06,00
diagnostic20,0012B464,ForestConiferousLife11,00
diagnostic21,002CE508,DesertRockyLife02,00
diagnostic21,002ACD5A,DesertRockyLife01,00
diagnostic21,0029B450,SavannaLife02,00
diagnostic21,001160DE,HillsNoLife15,00
diagnostic21,0025F375,ForestTropicalLife03,00
diagnostic21,002E57E2,WetlandsNoLife03,00
diagnostic22,0018A89F,SavannaLife06,00
diagnostic22,0018A89E,SavannaLife08,00
