zswdiagnostic.esm
PlanetName,BIOM_FormID,BIOM_EditorID,ResourceID
diagnostic01,000FD012,ArchipelagoLife01,00
diagnostic02,000FD012,ArchipelagoLife01,00
diagnostic03,0025D993,CanyonsLife01,00
diagnostic04,0025D993,CanyonsLife01,00
diagnostic05,00215CC3,CrateredLife01,00
diagnostic06,00215CC3,CrateredLife01,00
diagnostic07,002ACD5A,DesertRockyLife01,00
diagnostic08,002ACD5A,DesertRockyLife01,00
diagnostic09,002ACD5B,DesertSandyLife01,00
diagnostic10,002ACD5B,DesertSandyLife01,00
diagnostic11,0029434E,ForestConiferousLife01,00
diagnostic12,0029434E,ForestConiferousLife01,00
diagnostic13,002CE505,ForestDeciduousLife01,00
diagnostic14,002CE505,ForestDeciduousLife01,00
diagnostic15,0025FC04,ForestTropicalLife01,00
diagnostic16,0025FC04,ForestTropicalLife01,00
diagnostic17,00134B6A,FrozenLife01,00
diagnostic18,00134B6A,FrozenLife01,00
diagnostic19,0025F48C,HillsLife01,00
diagnostic20,0025F48C,HillsLife01,00
diagnostic21,0026BB6A,MountainsLife01,00
diagnostic22,0026BB6A,MountainsLife01,00
diagnostic23,0007F88B,OceanLife01,00
diagnostic24,0007F88B,OceanLife01,00
diagnostic25,002C998C,SavannaLife01,00
diagnostic26,002C998C,SavannaLife01,00
diagnostic27,002C9986,VolcanicRoughLife01,00
diagnostic28,002C9986,VolcanicRoughLife01,00
diagnostic29,00263FE6,VolcanicWornLife01,00
diagnostic30,00263FE6,VolcanicWornLife01,00
diagnostic31,001297F2,WetlandsLife01,00
diagnostic32,001297F2,WetlandsLife01,00
