zswwhitesun
PlanetName,BIOM_FormID,BIOM_EditorID,ResourceID
Aberdeen,001862C0,CrateredNoLife05,00
Aesir,000FC61C,FrozenNoLife09,00
Anvil,000FC61E,FrozenNoLife03,00
Aphrodite,0007F88B,OceanLife01,00
Aphrodite,000A86D9,FrozenLife11,00
Aphrodite,001177C5,WetlandsLife09,00
Aphrodite,00190133,ForestTropicalLife15,00
Aphrodite,001DFDFE,VolcanicWornLife09,00
Aphrodite,0028ACD1,ForestDeciduousLife03,00
Ariel,001862C0,CrateredNoLife05,00
Athens,000FC61C,FrozenNoLife09,00
Beaumonde,000FC61E,FrozenNoLife03,00
Bellerophon,000FC61B,FrozenNoLife10,00
Bernadette,000A86DB,FrozenNoLife04,00
Bernadette,000E66B0,DesertRockyNoLife08,00
Bernadette,0011BCD3,CanyonsNoLife10,00
Boros,001862BF,CrateredNoLife06,00
Constance,000FC61A,FrozenNoLife05,00
Deadwood,000FC61F,FrozenNoLife02,00
Elphame,000FC619,FrozenNoLife06,00
Fury,0017B861,,00
Ghost,000FC618,FrozenNoLife07,00
Gonghe,0017B861,,00
Greenleaf,000FD010,ArchipelagoLife03,00
Greenleaf,0025F375,ForestTropicalLife03,00
Greenleaf,0011B746,WetlandsLife03,00
Greenleaf,0028ACD1,ForestDeciduousLife03,00
Greenleaf,00215097,HillsLife03,00
Harvest,002C17A5,SavannaLife04,00
Harvest,00214F1A,HillsLife04,00
Harvest,00263FE8,ForestDeciduousLife04,00
Harvest,0011B745,WetlandsLife04,00
Heaven,0007F88A,OceanLife04,00
Heaven,0011B745,WetlandsLife04,00
Heaven,000FD015,ArchipelagoLife04,00
Heaven,00263FE8,ForestDeciduousLife04,00
Heaven,002636B9,MountainsLife04,00
Heaven,00080000,VolcanicWornLife04,00
Hera,0009423A,OceanNoLifeMethaneLiquid,00
Hera,000D1B82,MountainsNoLife07,00
Hera,000FC619,FrozenNoLife06,00
Hera,001160D6,HillsNoLife25,00
Hera,0014C019,DesertSandyNoLife07,00
HigginsMoon,0017B861,,00
Jiangyin,00187464,CrateredLife03,00
Jiangyin,00080232,VolcanicWornNoLife03,00
Jiangyin,000FD6F7,FrozenLife03,00
Jubilee,000FC61F,FrozenNoLife02,00
LianJiun,00094239,OceanNoLifeMethaneFrozen,00
LianJiun,000E66AF,DesertRockyNoLife09,00
Londinium,000414BB,HillsLife14,00
Londinium,0007D722,OceanLife08,00
Londinium,000FD00B,FrozenLife09,00
Londinium,0011647A,ForestConiferousLife21,00
Londinium,0028ACD0,ForestDeciduousLife02,00
Londinium,002C998C,SavannaLife01,00
Meadow,000C571B,CrateredNoLife07,00
Meridian,000FC61A,FrozenNoLife05,00
Miranda,0007D721,OceanLife09,00
Miranda,000E37DB,DesertRockyLife07,00
Miranda,000FD00A,FrozenLife10,00
Miranda,0025F48C,HillsLife01,00
Miranda,002636B9,MountainsLife04,00
Moab,002ACD5A,DesertRockyLife01,00
Moab,0025D993,CanyonsLife01,00
Moab,0025F48C,HillsLife01,00
Moab,00263FE6,VolcanicWornLife01,00
Muir,000C5715,FrozenNoLife11,00
NewCanaan,0011F988,ForestDeciduousLife05,00
NewCanaan,00214969,HillsLife05,00
NewCanaan,0011B743,WetlandsLife05,00
NewCanaan,000A86DA,MountainsLife05,00
Newhall,00215098,HillsLife02,00
Newhall,0007F887,OceanLife02,00
Newhall,001297F1,WetlandsLife02,00
NewMelbourne,0007D725,OceanNoLife01,00
NewMelbourne,000FC61E,FrozenNoLife03,00
NewMelbourne,000FD011,ArchipelagoNoLife01,00
Oberon,000FC61A,FrozenNoLife05,00
Osiris,000A86DB,FrozenNoLife04,00
Osiris,000C571A,CrateredNoLife08,00
Pelorium,000FD6F7,FrozenLife03,00
Pelorium,002636BA,MountainsLife03,00
Pelorium,00187464,CrateredLife03,00
Pelorium,00215097,HillsLife03,00
Pelorium,00294334,ForestConiferousLife03,00
Persephone,00094239,OceanNoLifeMethaneFrozen,00
Persephone,000FC618,FrozenNoLife07,00
Persephone,0014C018,DesertSandyNoLife08,00
Persephone,0025F48B,HillsNoLife01,00
Prophet,000FC620,FrozenNoLife01,00
Regina,000FC617,FrozenNoLife08,00
Rubicon,0017B861,,00
SaintAlbans,0017B861,,00
Santo,0018A89F,SavannaLife06,00
Santo,0014C1DD,DesertSandyLife06,00
Santo,001862BD,CrateredLife06,00
Santo,00212132,HillsLife06,00
Shadow,00216D44,CrateredNoLife02,00
Spacer01,0017B861,,00
Spacer02,0017B861,,00
Spacer03,0017B861,,00
Spacer04,0017B861,,00
Spacer05,0017B861,,00
Spacer05,0017B861,,00
Spacer05,0017B861,,00
Zephyr,000C5715,FrozenNoLife11,00
Zeus,0017B861,,00
